@type,@id,wikidata,"name"
node,246671111,Q1638378,"Passa Quatro"
node,246671112,Q1650857,"Carlos Chagas"
node,246671116,Q1756446,"Cruzília"
node,246671118,Q1791759,"Coronel Pacheco"
node,246671122,Q829417,"Caxambu"
node,246671125,Q1756240,"Francisco Badaró"
node,246671130,Q929590,"Santana do Paraíso"
node,246671168,Q1780214,"Lambari"
node,246671211,Q1022432,"Mesquita"
node,246671215,Q586057,"Araxá"
node,246671220,Q1790309,"Pirapetinga"
node,246671225,Q985579,"Passos"
node,246671228,Q616133,"Teixeiras"
node,246671230,Q1012546,"Vespasiano"
node,246671232,Q503236,"Andrelândia"
node,246671234,Q1751207,"Ibirité"
node,246671236,Q1791149,"Itamogi"
node,246671237,Q1792016,"Caetanópolis"
node,246671238,Q1754716,"Nova Ponte"
node,246671243,Q1642662,"Nova Lima"
node,246671246,Q1791720,"Formiga"
node,246671260,Q1755991,"Chapada Gaúcha"
node,246671261,Q1791600,"Jacinto"
node,246671290,Q1650861,"Santa Rita do Sapucaí"
node,246671292,Q1805786,"Espinosa"
node,246671293,Q737237,"Timóteo"
node,246671295,Q658813,"Wenceslau Braz"
node,246671318,Q905175,"Caratinga"
node,246671319,Q1757130,"Alto Rio Doce"
node,246671329,Q2008042,"Mantena"
node,246671332,Q1780277,"Iturama"
node,246671333,Q1749830,"Perdizes"
node,246671334,Q1789579,"Porto Firme"
node,246671335,Q936907,"Francisco Sá"
node,246671370,Q1790777,"Estiva"
node,246671378,Q1755744,"Piumhi"
node,246671395,Q934924,"Itinga"
node,246671396,Q178667,"Lagoa Santa"
node,246671399,Q1788283,"São Gotardo"
node,246671417,Q919616,"São João Nepomuceno"
node,246671418,Q1789748,"Monte Alegre de Minas"
node,246671419,Q1792008,"Bueno Brandão"
node,246671420,Q1772714,"Santo Antônio do Jacinto"
node,246671421,Q1756102,"Cachoeira de Minas"
node,246671422,Q1787194,"São João do Manhuaçu"
node,246671423,Q1790677,"Entre Rios de Minas"
node,246671425,Q817216,"Poços de Caldas"
node,246671430,Q584168,"Caraí"
node,246671432,Q1638425,"Lavras"
node,246671433,Q1904163,"São Francisco"
node,246671434,Q318314,"Ipatinga"
node,246671435,Q628877,"Itaúna"
node,246671436,Q1789722,"Nova Era"
node,246671438,Q1755810,"Sabinópolis"
node,246671445,Q1790819,"Frutal"
node,246671451,Q1754844,"Lima Duarte"
node,246671455,Q986277,"Santo Antônio do Amparo"
node,246671464,Q1792770,"Cachoeira da Prata"
node,246671466,Q1749821,"Pará de Minas"
node,246671473,Q1754836,"Jordânia"
node,246671483,Q816123,"Belo Oriente"
node,246671484,Q1809966,"Rio Paranaíba"
node,246671485,Q922944,"Ubá"
node,246671489,Q1755708,"São Sebastião do Paraíso"
node,246671495,Q1791428,"Inhapim"
node,246671496,Q1790600,"Itacarambi"
node,246671501,Q641281,"Lajinha"
node,246671506,Q1787340,"São José da Lapa"
node,246671528,Q1793063,"Carangola"
node,246671540,Q1787105,"São João da Ponte"
node,246671623,Q2007808,"Sacramento"
node,246671627,Q919904,"Serro"
node,246671636,Q1615444,"Abaeté"
node,246671638,Q1906206,"Candeias"
node,246671642,Q2007609,"Ouro Branco"
node,246671646,Q1749816,"Abre Campo"
node,246671652,Q522717,"Paraisópolis"
node,246671659,Q1877935,"Monte Carmelo"
node,246671660,Q920002,"Raul Soares"
node,246671669,Q283581,"Manga"
node,246671670,Q595804,"Campo Belo"
node,246671671,Q22062767,"Boa Esperança"
node,246671675,Q651906,"Montes Claros"
node,246671702,Q1756027,"Bambuí"
node,246671726,Q1780021,"Machado"
node,246671728,Q960694,"Patrocínio"
node,246671746,Q1791322,"Guapé"
node,246671752,Q1754786,"Vazante"
node,246671753,Q770910,"Barão de Cocais"
node,246671755,Q737644,"Betim"
node,246671756,Q1962454,"Turmalina"
node,246671759,Q999139,"Ponte Nova"
node,246671763,Q1789713,"Porteirinha"
node,246671770,Q1754796,"Visconde do Rio Branco"
node,246671771,Q2059260,"Água Boa"
node,246671774,Q583832,"Nepomuceno"
node,246671786,Q617058,"Arinos"
node,246671792,Q1805732,"Bom Sucesso"
node,246671796,Q1779998,"Luz"
node,246671803,Q527003,"Itabirito"
node,246671818,Q1754967,"Poço Fundo"
node,246671820,Q1804949,"Arcos"
node,246671848,Q1755996,"Iguatama"
node,246671856,Q42800,"Belo Horizonte"
node,246671858,Q1792148,"Buritis"
node,246671873,Q1749899,"Lagoa da Prata"
node,246671874,Q1756293,"Conceição da Barra de Minas"
node,246671879,Q983524,"Varginha"
node,246671885,Q1787686,"Urucânia"
node,246671887,Q988774,"Carmópolis de Minas"
node,246671890,Q1790206,"Nova Serrana"
node,246672189,Q737667,"Tarumirim"
node,246672191,Q942235,"Santa Luzia"
node,246672192,Q1755373,"Caeté"
node,246672195,Q1805792,"Coromandel"
node,246672197,Q1789756,"Manhumirim"
node,246672198,Q1793085,"Bela Vista de Minas"
node,246672278,Q1805359,"Leopoldina"
node,246672280,Q945723,"Mutum"
node,246672298,Q1790670,"Juatuba"
node,246672299,Q1756600,"Conceição do Rio Verde"
node,246672300,Q1791300,"Joanésia"
node,246672359,Q1792851,"Conselheiro Pena"
node,246672362,Q1780182,"Viçosa"
node,246672367,Q1792041,"Carmo da Mata"
node,246672369,Q1791724,"Esmeraldas"
node,246672372,Q1755730,"Matozinhos"
node,246672373,Q1379405,"Divino"
node,246672374,Q1791516,"Lagoa Formosa"
node,246672380,Q1804332,"Jacutinga"
node,246672382,Q1787178,"Taiobeiras"
node,246672405,Q34028,"Diamantina"
node,246672439,Q1754641,"Grão Mogol"
node,246672440,Q1757071,"Ervália"
node,246672441,Q1793156,"Amparo da Serra"
node,246672444,Q784417,"Bom Repouso"
node,246672453,Q2064735,"Toledo"
node,246672454,Q1755797,"Planura"
node,246672457,Q1789187,"Sarzedo"
node,246672466,Q2007621,"Cláudio"
node,246672467,Q1790645,"Guaranésia"
node,246672468,Q1791201,"Fervedouro"
node,246672480,Q2077804,"Campestre"
node,246672483,Q734146,"Jaíba"
node,246672485,Q775319,"Ouro Fino"
node,246672487,Q1754657,"Itambacuri"
node,246672488,Q1789707,"Perdões"
node,246672490,Q1754812,"Oliveira"
node,246672492,Q1789740,"Monte Santo de Minas"
node,246672511,Q1790798,"Eugenópolis"
node,246672515,Q432447,"Serra Azul de Minas"
node,246672523,Q926606,"Divinópolis"
node,246672598,Q1755581,"Padre Paraíso"
node,246672623,Q891713,"Bom Despacho"
node,246672627,Q986252,"Resplendor"
node,246672631,Q984571,"Patos de Minas"
node,246672633,Q666247,"São Joaquim de Bicas"
node,246672635,Q1886752,"Santa Bárbara"
node,246672637,Q80004,"Coronel Fabriciano"
node,246672650,Q1754887,"Andradas"
node,246672652,Q1751212,"Brumadinho"
node,246672660,Q767863,"Simonésia"
node,246672664,Q570312,"Conselheiro Lafaiete"
node,246672666,Q675677,"João Pinheiro"
node,246672669,Q584598,"Peçanha"
node,246672685,Q2007691,"Carmo do Cajuru"
node,246672688,Q1756538,"Belo Vale"
node,246672697,Q1756225,"Capelinha"
node,246672704,Q283682,"Paraguaçu"
node,246672705,Q1638413,"Itabira"
node,246672706,Q370048,"Alvinópolis"
node,246672734,Q2008030,"Extrema"
node,246672735,Q2063952,"Santa Vitória"
node,246672738,Q891733,"Bom Jesus do Galho"
node,246672778,Q807311,"Barbacena"
node,246672780,Q1792927,"Carandaí"
node,246672791,Q1756452,"Carmo do Rio Claro"
node,246672795,Q1804907,"Rio Pomba"
node,246672803,Q745089,"Conceição das Alagoas"
node,246672805,Q83011,"Nanuque"
node,246673028,Q1789496,"Santa Juliana"
node,246673032,Q1754760,"Santos Dumont"
node,246673036,Q1789137,"Santa Margarida"
node,246673039,Q1789441,"Rio Vermelho"
node,246673040,Q1755693,"Minas Novas"
node,246673041,Q2050036,"Igarapé"
node,246673042,Q1756605,"Águas Formosas"
node,246673071,Q1780173,"Campanha"
node,246673075,Q1749826,"Brazópolis"
node,246673077,Q1789409,"Rio Pardo de Minas"
node,246673080,Q1792033,"Brasilândia de Minas"
node,246673081,Q1788403,"Ubaporanga"
node,246673086,Q1756928,"Bocaiuva"
node,246673087,Q635947,"São Domingos do Prata"
node,246673088,Q1764539,"Matias Barbosa"
node,246673102,Q1791729,"Capinópolis"
node,246673103,Q194328,"Uberlândia"
node,246673105,Q1792282,"Bicas"
node,246673108,Q1749813,"Jaboticatubas"
node,246673110,Q1792962,"Barroso"
node,246673111,Q1791942,"Congonhal"
node,246673112,Q1439211,"Três Corações"
node,246673123,Q1792297,"Carmo do Paranaíba"
node,246673124,Q1772699,"Itamonte"
node,246673143,Q1756002,"Jequeri"
node,246673144,Q1755515,"Novo Cruzeiro"
node,246673148,Q956065,"Santo Antônio do Monte"
node,246673151,Q1791340,"Janaúba"
node,246673157,Q1637522,"Araguari"
node,246673160,Q1755739,"Paracatu"
node,246673164,Q631022,"Mateus Leme"
node,246673174,Q1756064,"Campina Verde"
node,246673177,Q1756622,"Itamarandiba"
node,246673181,Q1756458,"Ibiá"
node,246673182,Q1790481,"Maria da Fé"
node,246673185,Q376377,"Mercês"
node,246673186,Q1787139,"Varzelândia"
node,246673190,Q1804734,"Rio Piracicaba"
node,246673206,Q1815988,"Prata"
node,246673253,Q1790717,"Lagoa Dourada"
node,246673254,Q1754774,"Camanducaia"
node,246673255,Q1787184,"Tupaciguara"
node,246673325,Q1757102,"Alpinópolis"
node,246673328,Q509584,"Itapecerica"
node,246673330,Q1756235,"Joaíma"
node,246673337,Q1756864,"Guanhães"
node,246673338,Q1749750,"Araçuaí"
node,246673341,Q984567,"Mariana"
node,246690208,Q942083,"Votorantim"
node,246690217,Q1815958,"São Roque"
node,246690218,Q642894,"Alumínio"
node,246692128,Q931560,"Mairiporã"
node,246692130,Q1760376,"Jordanésia"
node,246692131,Q1646103,"Francisco Morato"
node,246692132,Q657199,"Franco da Rocha"
node,246692136,Q1759112,"Várzea Paulista"
node,246692137,Q1760376,"Cajamar"
node,249398582,Q645204,"Coari"
node,249444446,Q2976623,"Aeroporto de Tefé"
node,249478884,Q1793768,"Fonte Boa"
node,252618153,Q2013932,"Quixadá"
node,252738903,Q2021082,"Baturité"
node,254335069,Q905157,"Guaratinguetá"
node,254335854,Q617702,"Aparecida"
node,256119878,Q267439,"Guarapari"
node,256304928,Q172512,"Porto Velho"
node,256513795,Q765185,"Araçariguama"
node,256513796,Q526318,"Santana de Parnaíba"
node,256513797,Q1760867,"Pirapora do Bom Jesus"
node,256574954,Q1760058,"Cabreúva"
node,257558737,Q2008789,"Tracuateua"
node,257571864,Q334197,"Vila Velha"
node,259736324,Q120708,"Caldas Novas"
node,259736329,Q1759384,"Orlândia"
node,259736338,Q1798789,"Jardinópolis"
node,259736345,Q1759699,"São Joaquim da Barra"
node,259736349,Q1795634,"Sertãozinho"
node,259736360,Q1798797,"Cravinhos"
node,259736364,Q223422,"Anápolis"
node,259736368,Q578124,"Igarapava"
node,259736380,Q1649619,"Santa Rita do Passa Quatro"
node,259736388,Q188892,"Ribeirão Preto"
node,259736393,Q1750431,"Pirassununga"
node,260422448,Q1901157,"Santa Maria do Pará"
node,260422450,Q984581,"Castanhal"
node,260422453,Q2008554,"Santa Isabel do Pará"
node,260422455,Q1805166,"Marituba"
node,260422473,Q1804361,"Benevides"
node,260708507,Q10352586,"Praia da Costa"
node,262551613,Q10332475,"Morro do Baú"
node,263985792,Q778286,"Umirim"
node,263985912,Q2028660,"Irauçuba"
node,264714778,Q10307432,"Joaquim Távora"
node,264719196,Q9757663,"Cidade 2000"
node,264734646,Q10270556,"Edson Queiroz"
node,264734657,Q10305756,"São João do Tauape"
node,264734659,Q10370547,"Serrinha"
node,264734665,Q9643854,"Bairro de Fátima"
node,264734667,Q10305430,"Jardim América"
node,264734677,Q7357211,"Rodolfo Teófilo"
node,265000144,Q1760028,"Itapira"
node,265000147,Q1755752,"Monte Sião"
node,265000148,Q249869,"Águas de Lindóia"
node,265840152,Q93572,"Gama"
node,265840384,Q983480,"Valparaíso de Goiás"
node,267226894,Q2289846,"Tailândia"
node,267439836,Q1439193,"Cachoeiro de Itapemirim"
node,267440200,Q1807792,"Guaçuí"
node,267936643,Q6092327,"Itacoatiara"
node,267994582,Q1807909,"Alegre"
node,268150150,Q2019024,"Anchieta"
node,268152030,Q1794219,"Aracruz"
node,268152416,Q2020315,"Viana"
node,268528610,Q616475,"Domingos Martins"
node,268528613,Q593133,"Fundão"
node,268532111,Q1806710,"Itapemirim"
node,268533361,Q1793709,"Iúna"
node,268533615,Q668992,"Jaguaré"
node,268671237,Q1806671,"Rio Bananal"
node,268671242,Q1755402,"Linhares"
node,268675856,Q1795062,"Mimoso do Sul"
node,268675860,Q2013818,"Montanha"
node,268696034,Q1797483,"Muniz Freire"
node,268696042,Q734635,"Nova Venécia"
node,268696046,Q505326,"Pancas"
node,268696053,Q2018987,"Pinheiros"
node,268696057,Q1806645,"Piúma"
node,268696066,Q927537,"Serra"
node,268696070,Q1763574,"São Mateus"
node,268703087,Q1798735,"São Gabriel da Palha"
node,268703091,Q1806732,"Sooretama"
node,268703297,Q762224,"Vargem Alta"
node,268703298,Q1806745,"Venda Nova do Imigrante"
node,268883570,Q1804338,"Augusto Corrêa"
node,269996243,Q1026376,"Campo Largo"
node,272504793,Q773783,"Timbó"
node,272808587,Q1764948,"Balneário Barra do Sul"
node,272812264,Q808787,"Barra Velha"
node,272814025,Q598016,"Balneário Camboriú"
node,273199480,Q849584,"Jaraguá do Sul"
node,273202754,Q986536,"São Francisco do Sul"
node,273207360,Q856583,"Gaspar"
node,273209474,Q329488,"Brusque"
node,273210532,Q1010299,"Navegantes"
node,273217127,Q326651,"Pomerode"
node,274982559,Q747403,"Ibirama"
node,277281514,Q1765072,"Curitibanos"
node,277285881,Q941580,"Vacaria"
node,277286184,Q762009,"Lages"
node,277288668,Q956998,"Otacílio Costa"
node,277292340,Q671925,"São Marcos"
node,277429530,Q503852,"Paranaguá"
node,277438325,Q599068,"Antonina"
node,277438440,Q781087,"Morretes"
node,280384432,Q589546,"Pico da Bandeira"
node,283362879,Q1101945,"Veranópolis"
node,283363291,Q385465,"Garibaldi"
node,283401586,Q1439157,"Criciúma"
node,283403961,Q952674,"Torres"
node,283421299,Q1615291,"Laguna"
node,283421552,Q10280170,"Farol de Santa Marta"
node,286328036,Q741764,"Ipê"
node,286328090,Q33949,"Antônio Prado"
node,286473528,Q2524661,"Vila do Abraão"
node,286478360,Q525618,"Presidente Prudente"
node,287169829,Q10304156,"Itaimbezinho"
node,287336326,Q5472506,"Cambará do Sul"
node,288348727,Q1764972,"Campos Novos"
node,288351107,Q780452,"Capinzal"
node,289351645,Q925419,"São João da Boa Vista"
node,289434781,Q7128160,"Aeroporto de Palmas – Brigadeiro Lysias Rodrigues"
node,289580782,Q504755,"Imperatriz"
node,289588459,Q2068863,"Estreito"
node,289649137,Q2008429,"Rondon do Pará"
node,289660987,Q1763534,"Açailândia"
